id,scheme_name,scheme_type,state,department,description,eligibility,documents_required,official_website
131,CM Krishak Kalyan Scheme,State,Tripura,Agriculture,Agricultural welfare scheme for farmers,All farmers; Landholding farmers; Tenant farmers,Aadhaar; Land records; UC certificate; Bank account,https://agriculture.tripura.gov.in
132,Tripura Farm Mechanisation Scheme,State,Tripura,Agriculture,Farm machinery subsidy and custom hire support,All farmers; Women farmer groups; SHGs,Aadhaar; Land records; Equipment quotation; Bank account,https://agriculture.tripura.gov.in
133,Tripura Seed Subsidy Scheme,State,Tripura,Agriculture,Quality seeds at reduced pricing,All farmers; Registered farmer groups; SHGs,Aadhaar; Land records; Seed certificate; Bank account,https://agriculture.tripura.gov.in
134,Tripura Irrigation Support Scheme,State,Tripura,Irrigation,Irrigation infrastructure development assistance,Water-dependent farmers; Well development needs,Land records; Water requirement proof; Bank account; Quotation,https://agriculture.tripura.gov.in
135,Tripura Organic Farming Initiative,State,Tripura,Agriculture,Organic farming certification and support program,Farmers transitioning to organic practices,Land records; Aadhaar; Organic plan; Training certificate,https://agriculture.tripura.gov.in
136,Meghalaya Agricultural Support Scheme,State,Meghalaya,Agriculture,Crop insurance and input support for farmers,All farmers in Meghalaya,Aadhaar; Land records; Insurance enrollment; Bank account,https://meghalaya.gov.in
137,Meghalaya Organic Mission,State,Meghalaya,Agriculture,Organic farming transition and certification,Farmers adopting organic methods,Land records; Aadhaar; Organic plan; Training certificate,https://meghalaya.gov.in
138,Mizoram Farm Development Scheme,State,Mizoram,Agriculture,Agricultural input and machinery support,Shifting cultivators; Sedentary farmers,Aadhaar; Land records; Farm plan; Bank account,https://mizoram.gov.in
139,Mizoram Seed Distribution,State,Mizoram,Agriculture,Quality seed provision for farmers,All farmers; Community groups,Aadhaar; Land records; Seed certificate; Bank account,https://mizoram.gov.in
140,Nagaland Agricultural Promotion,State,Nagaland,Agriculture,Agricultural mechanization and modernization,Registered farmers; Community organizations,Aadhaar; Land records; Equipment quotation; Bank account,https://nagaland.gov.in
141,Manipur Farmer Support Scheme,State,Manipur,Agriculture,Direct income support to farming families,All farmers in Manipur,Aadhaar; Land records; UC certificate; Bank account,https://manipur.gov.in
142,Arunachal Pradesh Agriculture Scheme,State,Arunachal Pradesh,Agriculture,Agricultural input and mechanization support,All farmers; SHGs; Cooperative groups,Aadhaar; Land records; Farm documents; Bank account,https://arunachalpradesh.gov.in
143,Ladakh Farmer Support Scheme,State,Ladakh,Agriculture,Climate-adapted agricultural support program,All farmers in Ladakh; High-altitude practitioners,Aadhaar; Land records; Climate resilience plan; Bank account,https://ladakh.gov.in
144,Jammu Kashmir Agricultural Scheme,State,Jammu Kashmir,Agriculture,Agricultural input subsidy and crop insurance,All farmers in J&K; Displaced farmers,Aadhaar; Land records; Insurance enrollment; Bank account,https://jk.gov.in
145,Puducherry Farmer Welfare Scheme,State,Puducherry,Agriculture,Income support and input assistance,All farmers in Puducherry,Aadhaar; Land records; UC certificate; Bank account,https://puducherry.gov.in
146,Dadra Nagar Haveli Agricultural Support,State,Dadra Nagar Haveli,Agriculture,Agricultural mechanization for tribal farmers,Tribal farmers; Small landholders,Aadhaar; Tribe certificate; Land records; Bank account,https://dnh.gov.in
147,Daman Diu Farm Development,State,Daman Diu,Agriculture,Agricultural input and machinery support,All farmers in Daman Diu,Aadhaar; Land records; Equipment quotation; Bank account,https://diu.gov.in
148,Lakshadweep Coconut Farmer Scheme,State,Lakshadweep,Agriculture,Specialized support for coconut cultivation,Coconut farmers; Island communities,Aadhaar; Land records; Farm documents; Bank account,https://lakshadweep.gov.in
149,Andaman Nicobar Agricultural Support,State,Andaman Nicobar Islands,Agriculture,Agricultural development for island farming community,All farmers in A&N islands,Aadhaar; Land records; Island residency proof; Bank account,https://and.gov.in
150,Atma Nirbhar Krishi Scheme,Central,India,Agriculture,Self-reliant agriculture scheme through mechanization,All farmers; Cooperatives; Producer groups,Aadhaar; Land records; Bank account; Business plan,https://agriculturalstartup.gov.in
151,PM Annadata Aay Sanrakshn Abhiyaan,Central,India,Agriculture,Agricultural prices support and compensation scheme,Farmers registering with government systems,Aadhaar; Land records; Price support registration; Bank account,https://paashaabhiyaan.gov.in
152,Agriculture Skill Development Program,Central,India,Education,Training and skill development for farmers,Youth from farming families; Aspiring farmers,Educational certificate; Aadhaar; Age proof; Bank account,https://agricultureskills.gov.in
153,Agricultural Export Promotion Scheme,Central,India,Trade,Export market linkage for agricultural products,Farmer producers; Cooperatives; Exporters,Business registration; Product certification; Bank account,https://agriexports.gov.in
154,National Cooperative Agriculture Program,Central,India,Agriculture,Support for agricultural cooperatives,Cooperative societies; Farmer organizations,Registration certificate; Bank details; Board resolution,https://cooperatives.gov.in
155,Green Agriculture Incentive Scheme,Central,India,Energy,Incentives for sustainable agricultural practices,Environmentally conscious farmers; SHGs,Aadhaar; Land records; Green practice certification; Bank account,https://greenagriculture.gov.in
156,Farmer Information System,Central,India,IT,IT-enabled agri-information platform access,All farmers; Tech-savvy farmer groups,Aadhaar; Mobile number; Email ID,https://farmerinformationsystem.gov.in
157,Agricultural Start-up Acceleration,Central,India,Enterprise,Support for agri-business entrepreneurs,Educated youth; Farmers wanting entrepreneurship,Business plan; Aadhaar; Educational certificate; Bank account,https://agristartup.gov.in
158,Climate Resilient Agriculture Program,Central,India,Agriculture,Support for climate-adaptive farming practices,All farmers; Climate-vulnerable region farmers,Aadhaar; Land records; Climate risk assessment; Bank account,https://climateagri.gov.in
159,Farmer Producer Organization Scheme,Central,India,Agriculture,Support for FPOs and cooperative farming,Farmer groups; Producer organizations; Cooperatives,Organization registration; Bank account; Member list,https://fposcheme.gov.in
160,Agricultural Research Application Grant,Central,India,Research,Supporting farm-level research adoption,Progressive farmers; Research-engaged groups,Aadhaar; Land records; Research plan; Bank account,https://agricultureresearch.gov.in

136,Organic Mission Manipur,State,Manipur,Agriculture
137,Manipur Farm Mechanisation Scheme,State,Manipur,Agriculture
138,Manipur Seed Subsidy Scheme,State,Manipur,Agriculture
139,Manipur Irrigation Support Scheme,State,Manipur,Irrigation
140,Manipur Organic Farming Initiative,State,Manipur,Agriculture

141,CM Agriculture Development Scheme,State,Meghalaya,Agriculture
142,Meghalaya Farm Mechanisation Scheme,State,Meghalaya,Agriculture
143,Meghalaya Seed Subsidy Scheme,State,Meghalaya,Agriculture
144,Meghalaya Irrigation Support Scheme,State,Meghalaya,Irrigation
145,Meghalaya Organic Farming Initiative,State,Meghalaya,Agriculture

146,New Land Use Policy,State,Mizoram,Agriculture
147,Mizoram Farm Mechanisation Scheme,State,Mizoram,Agriculture
148,Mizoram Seed Subsidy Scheme,State,Mizoram,Agriculture
149,Mizoram Irrigation Support Scheme,State,Mizoram,Irrigation
150,Mizoram Organic Farming Initiative,State,Mizoram,Agriculture

151,Mission Organic Value Chain Nagaland,State,Nagaland,Agriculture
152,Nagaland Farm Mechanisation Scheme,State,Nagaland,Agriculture
153,Nagaland Seed Subsidy Scheme,State,Nagaland,Agriculture
154,Nagaland Irrigation Support Scheme,State,Nagaland,Irrigation
155,Nagaland Organic Farming Initiative,State,Nagaland,Agriculture

156,CM Agriculture Mechanisation Scheme,State,Arunachal Pradesh,Agriculture
157,CM Krishi Rinn Yojana,State,Arunachal Pradesh,Agriculture
158,CM Shasakt Kisan Yojana,State,Arunachal Pradesh,Agriculture
159,CM Krishi Samuh Yojana,State,Arunachal Pradesh,Agriculture
160,Arunachal Seed Distribution Scheme,State,Arunachal Pradesh,Agriculture
